,Unnamed: 0,label,text,t1
10,10,retirements,reveiw pension sharing order rome jlt fos electricity transformer gbr november pensions cc pensions reveiw pension sharing order rome jlt fos email would grateful response thank electricity transformer september pensions cc pensions reveiw pension sharing order rome jlt fos good afternoon please find attached sharing order would grateful could review thank electricity transformer senior pensions administrator office postal address post handling centre u st tower chennai street member line ,reveiw pension sharing order rome jlt fos electricity transformer gbr november pension cc pension reveiw pension sharing order rome jlt fos email would grateful response thank electricity transformer september pension cc pension reveiw pension sharing order rome jlt fos good afternoon please find attach share order would grateful could review thank electricity transformer senior pension administrator office postal address post handling centre u st tower chennai street member line
11,11,mdu,pension scheme monday november pm pensions fwd pension scheme thank reply answer query already activation letter code reason system email address part set process please investigate matter urgency believe sending activation letter problem thank ________________________________ pensions date monday november pensions scheme dear mr pension fund thank email regarding pension fund requested activation letter issued via post issued within working days active days require information questions please contact customer support centre pm monday friday alternatively e mail us sincerely administrator customer support centre fin corp ltd road street aa direct dial november fin corp support fwd logging issues email address requested security details nat ins zzz date birth address email thanks ________________________________ date wednesday november logging issues email address pensions received activation code today tried log fin corp account code set user name password system accept email address correct email address p advise soon possible many thanks ,pension scheme monday november pm pension fwd pension scheme thank reply answer query already activation letter code reason system email address part set process please investigate matter urgency believe send activation letter problem thank _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ pension date monday november pension scheme dear mr pension fund thank email regard pension fund request activation letter issue via post issue within working day active day require information question please contact customer support centre pm monday friday alternatively e mail -PRON- sincerely administrator customer support centre fin corp ltd road street aa direct dial november fin corp support fwd log issue email address request security detail nat ins zzz date birth address email thank _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ date wednesday november log issue email address pension receive activation code today try log fin corp account code set user name password system accept email address correct email address p advise soon possible many thank
12,12,mdu,updated address contact details friday november pensions updated address contact details hi deferred member pension scheme would like update contact details name ni number z old address road street aa new address road street aa would like get via email thanks ,update address contact detail friday november pension update address contact detail hi defer member pension scheme would like update contact detail name ni number z old address road street aa new address road street aa would like get via email thank
13,13,retirements,compensation saturday november pm pensions scheme compensation zzz dob attention refer emails dated st january st january email dated st january emails advised compensation agreement pounds referred administration date money company please company nothing since august agreed manager pounds feel ,compensation saturday november pm pension scheme compensation zzz dob attention refer email date st january st january email date st january email advise compensation agreement pound refer administration date money company please company nothing since august agree manager pound feel
14,14,transfers,transfer value quote request november transfer value quote request hi advise expect able respond questions email october thanks help regards oct wrote today received transfer quote thank questions pension could confirm current amount annual deferred pension please available projected amount nrd pension paid early would currently paid early nrd would possible fully commute pension would fully value nrd thanks help regards oct wrote could confirm received request advise likely timescale response please thanks sep wrote former member pension scheme gmp remaining scheme could please advise current transfer value current annual value gmp revaluation rate applies considering transferring enable locate record name ni number zzz date birth st january home address road street aa thanks help please let know need additional information regards ,transfer value quote request november transfer value quote request hi advise expect able respond question email october thank help regard oct write today receive transfer quote thank question pension could confirm current amount annual defer pension please available project amount nrd pension pay early would currently pay early nrd would possible fully commute pension would fully value nrd thank help regard oct write could confirm receive request advise likely timescale response please thank sep write former member pension scheme gmp remain scheme could please advise current transfer value current annual value gmp revaluation rate apply consider transfer enable locate record name ni number zzz date birth st january home address road street aa thank help please let know need additional information regard
15,15,transfers,warning message encrypted reference message encrypted saturday november pm pensions warning message encrypted reference message encrypted good afternoon writing today regard transfer policy sipp would grateful could provide us update transfer convenience attach copy letter authority password follow separately kind regards ,warn message encrypt reference message encrypt saturday november pm pension warning message encrypt reference message encrypt good afternoon write today regard transfer policy sipp would grateful could provide -PRON- update transfer convenience attach copy letter authority password follow separately kind regard
16,16,transfers,thank email november thank email hello hoping would able give help regarding pension previously prior years pension def hoping would able transfer current pension possible arrange road street aa dob ni zzz payroll number tst regards ________________________________ november thank email thank email depending upon nature request issue full written response home address respond directly email address deal request provided full address date birth national insurance number payroll reference number please send original email including information included information identify respond correct person accordance data protection act regulations wish provide information via email please telephone write including identification details please note contacting us behalf member also require information respect queries please contact member team pm monday friday bank calls recorded training purposes ,thank email november thank email hello hope would able give help regard pension previously prior year pension def hope would able transfer current pension possible arrange road street aa dob ni zzz payroll number tst regard _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ november thank email thank email depend upon nature request issue full write response home address respond directly email address deal request provide full address date birth national insurance number payroll reference number please send original email include information include information identify respond correct person accordance data protection act regulation wish provide information via email please telephone write include identification detail please note contact us behalf member also require information respect query please contact member team pm monday friday bank call record training purpose
17,17,retirements,request pension details ref tst pensions monday november pm pensions request pension details ref tst hello team please see query reply accordingly member ifa many thanks agent customer support centre road street aa pension service november pensions request pension details ref tst may concern please find attached letter authority client relation policies held attached standard schedule setting information require policies held client along full information questionnaire wish use could please fully answer questions return schedule email post soon possible would much appreciated additional scheme relevant decision might made client exercise options scheme schedule please ensure relevant information provided would like draw attention fact member entitled draw immediate retirement benefits asked provide quotation addition transfer data please also provide relevant discharge transfer open option documents options immediate retirement transfer anticipate significant delay providing information requested please contact us immediately indicate details supplied kind regards ,request pension detail ref tst pension monday november pm pension request pension detail ref tst hello team please see query reply accordingly member ifa many thank agent customer support centre road street aa pension service november pension request pension detail ref tst may concern please find attach letter authority client relation policy hold attach standard schedule set information require policy hold client along full information questionnaire wish use could please fully answer question return schedule email post soon possible would much appreciate additional scheme relevant decision may made client exercise option scheme schedule please ensure relevant information provide would like draw attention fact member entitle draw immediate retirement benefit ask provide quotation addition transfer datum please also provide relevant discharge transfer open option document option immediate retirement transfer anticipate significant delay provide information request please contact -PRON- immediately indicate detail supply kind regard
18,18,transfers,xyzz november xyzz importance high hi partial transfers allowed attached policy many thanks ifa road street aa tel ,xyzz november xyzz importance high hi partial transfer allow attach policy many thank ifa road street aa tel
19,19,mdu,def trust pension plan november def trust pension plan hi pensions please find attached verification form new address please confirmation receipt provide account details online details kind regards _____ tuesday june def trust pension plan dear def trust pension plan thank email regarding def pension plan please find attached correspondence issued may require information questions please contact customer support centre pm monday friday alternatively e mail us sincerely pensions may def trust pension plan hi pensions following received communication regarding plan please advise request kind regards _____ wednesday april pm def trust pension plan dear mr def trust pension plan thank email regarding def pension plan request logged receive written response administration department within working days address updated records proceed pension query require information questions please contact customer support centre pm monday friday alternatively e mail us sincerely pensions april def trust pension plan hi sure final address pension fund details working dob address road street aa national insurance zzz apr pm wrote dear def trust pension plan thank email regarding def pension plan enable us answer enquiry please could provide previous address date birth national insurance number data verification purposes require information questions please contact customer support centre pm monday friday alternatively e mail us sincerely pensions april def pension plan query hi worked def part def trust pension plan moved back australia would like update personal details pension plan get regular update plan please update details details also provide current report pension kind regards mobile address email begin forwarded message date april pm def def hi forwarded email look pensions benefits def pensions pension administrators look deferred members def pension plan please therefore reach via phone email detailed able update contact details please let know help many thanks fund ,def trust pension plan november def trust pension plan hi pension please find attach verification form new address please confirmation receipt provide account detail online detail kind regard _ _ _ _ _ tuesday june def trust pension plan dear def trust pension plan thank email regard def pension plan please find attach correspondence issue may require information question please contact customer support centre pm monday friday alternatively e mail -PRON- sincerely pension may def trust pension plan hi pension follow receive communication regard plan please advise request kind regard _ _ _ _ _ wednesday april pm def trust pension plan dear mr def trust pension plan thank email regard def pension plan request log receive write response administration department within work day address update record proceed pension query require information question please contact customer support centre pm monday friday alternatively e mail -PRON- sincerely pension april def trust pension plan hi sure final address pension fund detail work dob address road street aa national insurance zzz apr pm write dear def trust pension plan thank email regard def pension plan enable -PRON- answer enquiry please could provide previous address date birth national insurance number datum verification purpose require information question please contact customer support centre pm monday friday alternatively e mail -PRON- sincerely pension april def pension plan query hi work def part def trust pension plan move back australia would like update personal detail pension plan get regular update plan please update detail detail also provide current report pension kind regard mobile address email begin forward message date april pm def def hi forwarded email look pension benefit def pension pension administrator look defer member def pension plan please therefore reach via phone email detail able update contact detail please let know help many thank fund
20,20,mdu,pension fund saturday november pensions pension fund hi dob ni zzz regards nov wrote dear pension fund thank email regarding pension fund please accept apologies delay responding enable us answer enquiry please could provide date birth national insurance number data verification purposes require information questions please contact customer support centre pm monday friday alternatively e mail us sincerely administrator customer support centre pensions road street aa direct dial original message november pensions change address hi change address please road street aa regards ,pension fund saturday november pension pension fund hi dob ni zzz regard nov write dear pension fund thank email regard pension fund please accept apology delay respond enable -PRON- answer enquiry please could provide date birth national insurance number datum verification purpose require information question please contact customer support centre pm monday friday alternatively e mail -PRON- sincerely administrator customer support centre pensions road street aa direct dial original message november pension change address hi change address please road street aa regard
21,21,transfers,information mailto november pensions information send email however appears need additional information date birth st jan ni zzz full name ref tst dear sir madam received letter good stating need another transfer value would need pay additional pounds vat first transfer request company based done due checked transfer request made realize business need make money however would consider fee amount additional transfer request found uk based company deal could help fee around man affected pandemic help would appreciated regards ,information mailto november pension information send email however appear need additional information date birth st jan ni zzz full name ref tst dear sir madam receive letter good stating need another transfer value would need pay additional pound vat first transfer request company base do due checked transfer request make realize business need make money however would consider fee amount additional transfer request find uk base company deal could help fee around man affect pandemic help would appreciated regard
22,22,retirements,retirement employee security scheme mr mr november retirement employee security scheme mr mr hi pensions thank email could please email request processed kind regards ifa november retirement employee security scheme mr mr dear ifa retirement employee security scheme thank email regarding retirement employee security scheme checked records confirm email october relation member retirement process queries please hesitate contact customer support centre pm monday friday helpline alternatively please e mail us sincerely pensions november cc mr tst good afternoon last month mr signed retirement options form th october could please confirm safe receipt also could kindly provide update process setting annual pension need information assistance please hesitate contact kind regards ifa ,retirement employee security scheme mr mr november retirement employee security scheme mr mr hi pensions thank email could please email request process kind regard ifa november retirement employee security scheme mr mr dear ifa retirement employee security scheme thank email regard retirement employee security scheme check record confirm email october relation member retirement process query please hesitate contact customer support centre pm monday friday helpline alternatively please e mail -PRON- sincerely pension november cc mr tst good afternoon last month mr sign retirement option form th october could please confirm safe receipt also could kindly provide update process set annual pension need information assistance please hesitate contact kind regard ifa
23,23,mdu,change address november change address nino zzz dob reference tst new address road street aa tel could please update records members new address kind regards ,change address november change address nino zzz dob reference tst new address road street aa tel could please update record member new address kind regard
24,24,transfers,tst signed transfer documents certified proof address identity financial advice declaration cetv guarantee date october november cc tst signed transfer documents certified proof address identity financial advice declaration cetv guarantee date october dear sirs mr signed transfer documents proof address identity confirmation advice emailed ford administrators october received automated confirmation reply shortly thereafter emails end please valuation proceed transfer thank help matter def road street aa phone direct forwarded message date thu nov tst signed transfer documents certified proof address identity financial advice declaration cetv guarantee date october dear def emailing regards mr transfer reviewing paperwork received noted receiving scheme warranty form signed dated received guarantee date unfortunately requirements guarantee date unable proceed transfer required mr cetv still wishes transfer benefits member fund entitled one cetv month period fee vat payable payment made following account account benefits account sort code reference member name national insurance number please let us know payment made either letter email telephone call queries regarding email please hesitate contact us kind regards pensions postal address road street aa member helpline monday november tst signed transfer documents certified proof address identity financial advice declaration cetv guarantee date october dear def ford salaried contributory pension fund thank email regarding ford salaried contributory pension fund please accept apologies delay responding confirm forwarded email administration department contact shortly information required require information questions please contact customer support centre pm monday friday alternatively e mail us sincerely pensions friday october pm tst signed transfer documents certified proof address identity financial advice declaration cetv guarantee date october thank email pension queries meantime please contact member helpline please note automated response postal address road street aa october tst signed transfer documents certified proof address identity financial advice declaration cetv guarantee date october dear sirs please accept attached mr documents financial advice declaration proof address identity originals follow shortly thank help matter def senior investment advisor ifa road street aa phone direct ,tst sign transfer document certify proof address identity financial advice declaration cetv guarantee date october november cc tst sign transfer document certify proof address identity financial advice declaration cetv guarantee date october dear sirs mr sign transfer document proof address identity confirmation advice email ford administrators october receive automate confirmation reply shortly thereafter email end please valuation proceed transfer thank help matter def road street aa phone direct forward message date thu nov tst sign transfer document certify proof address identity financial advice declaration cetv guarantee date october dear def emailing regard mr transfer review paperwork receive note receive scheme warranty form sign date receive guarantee date unfortunately requirement guarantee date unable proceed transfer require mr cetv still wish transfer benefit member fund entitle one cetv month period fee vat payable payment make follow account account benefit account sort code reference member name national insurance number please let -PRON- know payment make either letter email telephone call query regard email please hesitate contact -PRON- kind regard pension postal address road street aa member helpline monday november tst sign transfer document certify proof address identity financial advice declaration cetv guarantee date october dear def ford salary contributory pension fund thank email regard ford salary contributory pension fund please accept apology delay respond confirm forwarded email administration department contact shortly information require require information question please contact customer support centre pm monday friday alternatively e mail -PRON- sincerely pension friday october pm tst sign transfer document certify proof address identity financial advice declaration cetv guarantee date october thank email pension query meantime please contact member helpline please note automate response postal address road street aa october tst sign transfer document certify proof address identity financial advice declaration cetv guarantee date october dear sir please accept attach mr document financial advice declaration proof address identity original follow shortly thank help matter def senior investment advisor ifa road street aa phone direct
25,25,mdu,pensions november cc pensions email non click links open attachments unless recognise sender know content safe hi advised member moved road street aa please could confirm new address records thanks pension plan ,pension november cc pension email non click link open attachment unless recognise sender know content safe hi advise member move road street aa please could confirm new address record thank pension plan
26,26,transfers,pension plan november pension plan hi attached info last statement received moved house times hope november pension plan dear pension plan thank email regarding pension plan unfortunately confirm unable locate record benefits using details provided could please confirm name scheme member part addition could please supply additional reference name anyone received correspondence within past require information questions please contact customer support centre pm monday friday alternatively e mail us sincerely november pension plan hi please find attached signed letter authority mutual client would appreciate could please provide us following information please let us know need original authority post previous address providing cash equivalent transfer value details deferred pension entitlement respect scheme would grateful could ensure following information respect entitlement included response copy scheme booklet relation membership scheme copy latest summary funding statement respect scheme confirmation whether cetv provided position scheme present confirmation whether partial transfer option available member details option applied specific scheme normal retirement age earliest age member entitled unreduced benefits earliest age benefits taken accrual reduction benefits applied circumstances breakdown deferred pension entitlement date leaving service gmp entitlement pre post pre excess post entitlement rates revaluation pension deferment including gmp entitlement revaluation limited revaluation basis amount whether included additional cetv provide rates escalation pension payment inflation rpi cpi used within increase confirmation whether member pre day protected tax free cash entitlement within deferred pension entitlement confirmation whether tax free cash entitlement commutation provided post day maximum rules please specify amount used maximum tax free cash available member details cash commutation factors applicable scheme normal retirement age details spouse partner death pre retirement post retirement pensions may payable details guaranteed period payment members pension death occurs guaranteed period lump sum payable details lump sum payable event members death pre retirement including details member contributions may included payment current rate interest would added contributions post benefits confirmation scheme contracted reference scheme basis split post transfer value protected non protected rights details option available member defer taking benefits beyond scheme normal retirement age revaluation factors apply pension entitlement post scheme normal retirement age many thanks ifa ,pension plan november pension plan hi attach info last statement receive move house time hope november pension plan dear pension plan thank email regard pension plan unfortunately confirm unable locate record benefit use detail provide could please confirm name scheme member part addition could please supply additional reference name anyone receive correspondence within past require information question please contact customer support centre pm monday friday alternatively e mail -PRON- sincerely november pension plan hi please find attach sign letter authority mutual client would appreciate could please provide -PRON- follow information please let -PRON- know need original authority post previous address provide cash equivalent transfer value detail defer pension entitlement respect scheme would grateful could ensure follow information respect entitlement include response copy scheme booklet relation membership scheme copy late summary funding statement respect scheme confirmation whether cetv provide position scheme present confirmation whether partial transfer option available member detail option apply specific scheme normal retirement age early age member entitle unreduced benefit early age benefit take accrual reduction benefit apply circumstance breakdown defer pension entitlement date leave service gmp entitlement pre post pre excess post entitlement rate revaluation pension deferment include gmp entitlement revaluation limited revaluation basis amount whether include additional cetv provide rate escalation pension payment inflation rpi cpi use within increase confirmation whether member pre day protect tax free cash entitlement within defer pension entitlement confirmation whether tax free cash entitlement commutation provide post day maximum rule please specify amount use maximum tax free cash available member detail cash commutation factor applicable scheme normal retirement age detail spouse partner death pre retirement post retirement pension may payable detail guarantee period payment member pension death occur guarantee period lump sum payable detail lump sum payable event member death pre retirement include detail member contribution may include payment current rate interest would add contribution post benefit confirmation scheme contract reference scheme basis split post transfer value protect non protect right detail option available member defer take benefit beyond scheme normal retirement age revaluation factor apply pension entitlement post scheme normal retirement age many thank ifa
